scenario_id,depth_ppm,noise_ppm,rho,trials,bias_ppm,rmse_ppm,iid_coverage_95,cluster_coverage_95,iid_detection_rate_3sigma,cluster_detection_rate_3sigma
deep-white,1000,500,0,1000,-0.8038770070581904,36.66538977231464,0.943,0.924,1,1
deep-red,1000,500,0.8,1000,3.534786259810403,91.50215608024752,0.549,0.932,1,1
shallow-white,300,500,0,1000,1.9138769443559909,36.46392907024006,0.95,0.916,1,1
shallow-red,300,500,0.8,1000,0.7867843190887811,93.53190014363912,0.561,0.921,0.98,0.612
